Business Name,Address,City,State,Zip Code,Business Type,IT Type,Business Description,Year Established,Website,Longitude,Latitude,Location
New Equilibrium Biosciences,35 Cambridgepark Dr Suite 300,Cambridge,MA,02140,Technology,"Artificial Intelligence (AI), Biotechnology, Medical",New Equilibrium Biosciences provides a platform that reveals opportunities for structure-based design by learning biophysics with AI.,01/01/2019 12:00:00 AM,https://newequilibriumbio.com/,-71.1435055,42.3948758,POINT (-71.1435055 42.3948758)
Violet Therapeutics,86A Sherman St,Cambridge,MA,02140,Life Sciences,"Health Care, Medical, Therapeutics",Violet Therapeutics is a healthcare company that operates in stealth mode.,01/01/2021 12:00:00 AM,https://violet-therapeutics.com/,-71.1322203,42.3882666,POINT (-71.1322203 42.3882666)
Plex Research,625 Massachusetts Ave,Cambridge,MA,02139,Life Sciences,"Biotechnology, Information Technology, Pharmaceutical",Plex Research is the Boston area start-up that's transforming the humble search bar into a drug discovery powerhouse.,01/01/2017 12:00:00 AM,https://www.plexresearch.com,-71.1030671,42.3657346,POINT (-71.1030671 42.3657346)
Walden Biosciences,1 Kendall Square,Cambridge,MA,02139,Life Sciences,"Biotechnology, Health Care, Life Science",Walden Biosciences is a biotechnology company focused on transforming the treatment of kidney disease.,01/01/2020 12:00:00 AM,https://www.waldenbiosciences.com/,-71.0901213,42.3673039,POINT (-71.0901213 42.3673039)
Caila,425 Massachusetts Ave,Cambridge,MA,02139,Technology,"Artificial Intelligence (AI), B2B, Human Resources, Machine Learning, Professional Services",Caila is a career concierge that uses artificial intelligence to upskill working learners.,10/31/2015 12:00:00 AM,https://www.getcaila.com/,-71.1004273,42.3638649,POINT (-71.1004273 42.3638649)
School Yourself,38 Banks St,Cambridge,MA,02138,Technology,"Analytics, E-Learning, Education, Test and Measurement",School Yourself creates interactive online lessons for high school and college-level math and science subjects.,03/16/2012 12:00:00 AM,http://schoolyourself.org,-71.1143781,42.3696043,POINT (-71.1143781 42.3696043)
Black Diamond Therapeutics,126 Gore St #2,Cambridge,MA,02141,Life Sciences,"Biotechnology, Life Science, Medical",Black Diamond Therapeutics is a medical company focused on analyzing genetically defined cancers.,01/01/2017 12:00:00 AM,https://www.blackdiamondtherapeutics.com/,-71.0836724,42.3721413,POINT (-71.0836724 42.3721413)
Caraway Therapeutics,300 Technology Square floor 2,Cambridge,MA,02139,Life Sciences,"Biotechnology, Health Care, Therapeutics",Rheostat Therapeutics is a bio therapeutics company.,01/01/2018 12:00:00 AM,https://carawaytx.com/,-71.0916238,42.3633654,POINT (-71.0916238 42.3633654)
ChannelWave,196 Broadway,Cambridge,MA,02139,Technology,"Apps, Enterprise Software, Software",ChannelWave develops and markets Web-based software applications.,01/01/1997 12:00:00 AM,http://www.channelwave.com/,-71.0924206,42.3656884,POINT (-71.0924206 42.3656884)
Cygnal Therapeutics,325 Vassar St,Cambridge,MA,02139,Life Sciences,"Biotechnology, Health Care, Therapeutics",Cygnal Therapeutics is a biotechnology company,01/01/2016 12:00:00 AM,https://www.cygnaltx.com/,-71.1057392,42.3550191,POINT (-71.1057392 42.3550191)
Casma Therapeutics,400 Technology Square Suite 201,Cambridge,MA,02139,Life Sciences,"Biotechnology, Health Care, Therapeutics",Casma Therapeutics is a biotechnology company harnessing the natural cellular process of autophagy to design new medicines.,01/01/2017 12:00:00 AM,https://www.casmatx.com/,-71.0917551,42.3639663,POINT (-71.0917551 42.3639663)
Nanopath,60 Vassar St REAR,Cambridge,MA,02139,Life Sciences,Biotechnology,Nanopath Inc. is a molecular diagnostics company enabling high-quality molecular testing in minutes.,01/01/2019 12:00:00 AM,https://www.nanopathdx.com/,-71.0915422,42.3601335,POINT (-71.0915422 42.3601335)
Fina Technologies,58 Charles St,Cambridge,MA,02141,Technology,"Analytics, Machine Learning, Software","Fina Technologies develops financial software solutions for trading houses and funds, including time series prediction and value estimation.",01/01/2008 12:00:00 AM,http://www.finatechnologies.com,-71.0798499,42.3673277,POINT (-71.0798499 42.3673277)
Leap Therapeutics,47 Thorndike St,Cambridge,MA,02141,Life Sciences,"Biotechnology, Life Science, Medical, Oncology",Leap Therapeutics is a clinical-stage biopharmaceutical company for development of targeted and immuno-oncology therapeutics.,01/01/2011 12:00:00 AM,http://www.leaptx.com,-71.0796854,42.3697029,POINT (-71.0796854 42.3697029)
Rekindle Therapeutics,101 Main St Suite 1650,Cambridge,MA,02142,Life Sciences,"Biotechnology, Life Science, Pharmaceutical",Rekindle Therapeutics is a biotechnology company.,01/01/2018 12:00:00 AM,,-71.0815798,42.3621912,POINT (-71.0815798 42.3621912)
LifeHarbor,733 Concord Ave,Cambridge,MA,02138,Technology,"Financial Services, Software",LifeHarbor is a leading provider of innovative wealth management software to the financial services industry.,01/01/1998 12:00:00 AM,http://www.lifeharbor.com/,-71.153213,42.391172,POINT (-71.153213 42.391172)
Coalesenz,10 Fawcett St,Cambridge,MA,02138,Life Sciences,"Biotechnology, Health Care, Life Science, Medical, Medical Device",Coalesenz develops a smart sensor that swiftly measures a patientâ€™s blood coagulation status using a small sample of blood.,12/15/2020 12:00:00 AM,https://coalesenz.com/,-71.1455223,42.3893611,POINT (-71.1455223 42.3893611)
Shuimu BioSciences,1 Broadway 5th floor,Cambridge,MA,02142,Technology,"Artificial Intelligence (AI), Biotechnology, Life Science",Shuimu BioSciences provides one-stop solutions for cryo-EM-Powered drug discovery.,12/07/2017 12:00:00 AM,https://shuimubio.com/,-71.0835375,42.3627822,POINT (-71.0835375 42.3627822)
Montague Bikes,1035 Cambridge St,Cambridge,MA,02141,Technology,Big Data,"Montague Bikes is a company focused on designing and producing full-size, high-performance bicycles.",01/01/1987 12:00:00 AM,https://www.montaguebikes.com,-71.0935608,42.3735198,POINT (-71.0935608 42.3735198)
Pickle Robot,1280 Cambridge St,Cambridge,MA,02139,Technology,"Artificial Intelligence (AI), Industrial Manufacturing, Robotics","Pickle Robot is a low cost, collaborative package handling robot that automates several key tasks along the e-commerce supply chain.",07/01/2018 12:00:00 AM,https://www.picklerobot.com/,-71.0989137,42.3733122,POINT (-71.0989137 42.3733122)
Vor Biopharma,100 Cambridgepark Dr #101,Cambridge,MA,02140,Life Sciences,"Biotechnology, Health Care, Oncology, Pharmaceutical",Vor Biopharma is an immuno-oncology company that develops therapies for treating cancer.,01/01/2016 12:00:00 AM,https://www.vorbio.com,-71.1448397,42.3943649,POINT (-71.1448397 42.3943649)
Rectify Pharmaceuticals,10 Museum Way #723,Cambridge,MA,02141,Life Sciences,"Biotechnology, Life Science, Therapeutics","Rectify Pharmaceuticals is a biotechnology company developing Positive Functional Modulators (PFMs), disease-modifying therapeutics.",01/01/2020 12:00:00 AM,https://rectifypharma.com/,-71.0714493,42.3703418,POINT (-71.0714493 42.3703418)
Thymmune Therapeutics,790 Memorial Dr #2c,Cambridge,MA,02139,Life Sciences,"Biotechnology, Therapeutics",Thymmune Therapeutics is a biotechnology company developing a machine learning-driven thymic cell engineering platform.,01/01/2019 12:00:00 AM,https://www.thymmune.com/,-71.1150653,42.3601728,POINT (-71.1150653 42.3601728)
Font Awesome,448 Massachusetts Ave,Cambridge,MA,02139,Technology,"Computer, Enterprise Software, Information Technology, Software",Font Awesome is always getting a little awesome-er.,03/19/2014 12:00:00 AM,http://fontawesome.com/,-71.1010471,42.363566,POINT (-71.1010471 42.363566)
Amylyx Pharmaceuticals,121 First St,Cambridge,MA,02141,Life Sciences,"Biotechnology, Medical, Neuroscience, Pharmaceutical",Amylyx Pharmaceuticals specializes in providing solutions for Alzheimerâ€™s and other diseases of the brain.,01/01/2014 12:00:00 AM,http://amylyx.com,-71.077958,42.3670843,POINT (-71.077958 42.3670843)
Be Biopharma,1 Kendall Square B200,Cambridge,MA,02139,Life Sciences,"Biopharma, Biotechnology, Pharmaceutical",Be Biopharma is developing B ceaBe Biopharma is a biotech research company that develops a class of B cells as medicines.lls as medicines.,01/01/2020 12:00:00 AM,https://www.be.bio,-71.0909279,42.3666273,POINT (-71.0909279 42.3666273)
Blueprint Medicines,45 Sidney St,Cambridge,MA,02139,Life Sciences,"Bioinformatics, Biotechnology, Health Care, Medical",Blueprint Medicines engages in the discovery and development of highly selective kinase inhibitors for genomically defined cancer subsets.,01/01/2011 12:00:00 AM,http://www.blueprintmedicines.com,-71.1016204,42.3619219,POINT (-71.1016204 42.3619219)
Concerto Biosciences,301 Binney St Suite 202,Cambridge,MA,02142,Technology,"Big Data, Biopharma, Biotechnology, Life Science, Medical",Concerto Biosciences reinvents humanity's relationship with microbes.,02/13/2020 12:00:00 AM,https://www.concertobio.com/,-71.0873814,42.3666656,POINT (-71.0873814 42.3666656)
Garuda Therapeutics,245 First St,Cambridge,MA,02142,Life Sciences,"Biotechnology, Health Care, Life Science, Therapeutics",Garuda Therapeutics develops off-the-shelf hematopoietic stem cell therapies to treat life-threatening diseases.,01/01/2021 12:00:00 AM,https://garudatx.com/,-71.0790258,42.363518,POINT (-71.0790258 42.363518)
Ryne Biotechnology,245 First St 18th floor,Cambridge,MA,02142,Life Sciences,"Biotechnology, Health Care, Medical",Ryne Biotechnology focuses on developing therapies for neurodegenerative movement disorders.,01/01/2022 12:00:00 AM,https://www.ryne-bio.com/,-71.0790546,42.36355,POINT (-71.0790546 42.36355)
Jobcase,201 Broadway 6th floor,Cambridge,MA,02139,Technology,"Big Data, Employment, Recruiting, Social Media",Jobcase is an online community dedicated to empowering the world's workers.,01/01/2015 12:00:00 AM,https://www.jobcase.com/about-us/,-71.0923713,42.3661114,POINT (-71.0923713 42.3661114)
Labguru (BioData Inc.),245 First St,Cambridge,MA,02142,Technology,"Biotechnology, Data Management, Information Technology, Life Science, Pharmaceutical, Software","Labguru is an all-in-one secured, cloud-based data management solution (ELN/LIMS/Informatics) for life science R&D.",07/01/2007 12:00:00 AM,https://www.labguru.com,-71.0790258,42.363518,POINT (-71.0790258 42.363518)
Eulysis UK,35 Cambridgepark Dr Suite 200,Cambridge,MA,02140,Life Sciences,"Biotechnology, Medical Device, Pharmaceutical",Eulysis UK mission is to improve worldwide access to life saving pharmaceuticals.,01/01/2010 12:00:00 AM,http://eulysis.com/,-71.1434723,42.3948325,POINT (-71.1434723 42.3948325)
Sialix Cancer Research,500 Main St building 76,Cambridge,MA,02139,Life Sciences,"Biotechnology, Health Care, Oncology",Sialix Cancer Research is an institute that offers cancer antigen and cancer antibodies.,07/31/2013 12:00:00 AM,http://sialix.com,-71.0893571,42.3623099,POINT (-71.0893571 42.3623099)
Bicara Therapeutics,1 Main St,Cambridge,MA,02142,Life Sciences,"Biopharma, Biotechnology, Life Science, Oncology, Therapeutics","Bicara Therapeutics develops dual-action cancer therapies, combining targeted treatments with tumor modulators for enhanced impact.",01/01/2020 12:00:00 AM,https://www.bicara.com,-71.0799976,42.362177,POINT (-71.0799976 42.362177)
EscapeLabs Inc,812 Memorial Dr # 908,Cambridge,MA,02139,Technology,"Computer, Software",EscapeLabs uses mixed reality to create room-scale puzzle games and holographic escape rooms.,06/01/2017 12:00:00 AM,http://www.escapelabs.io/,-71.1153415,42.3612399,POINT (-71.1153415 42.3612399)
ProFound Therapeutics,1030 Massachusetts Ave #210,Cambridge,MA,02138,Life Sciences,"Biotechnology, Health Care, Therapeutics",ProFound Therapeutics is creating profound impacts on the understanding of biology and disease and the ability to create therapeutics.,01/01/2019 12:00:00 AM,https://www.profoundtx.com/,-71.1121878,42.3694342,POINT (-71.1121878 42.3694342)
Sarepta Therapeutics,215 First St,Cambridge,MA,02142,Life Sciences,"Biotechnology, Genetics, Health Care, Therapeutics",Sarepta Therapeutics focuses on the discovery and development of precision genetic medicine to treat rare diseases.,01/01/1980 12:00:00 AM,https://www.sarepta.com,-71.0797166,42.3643809,POINT (-71.0797166 42.3643809)
RGo Robotics,1 Broadway,Cambridge,MA,02142,Technology,"Artificial Intelligence (AI), Information Technology, Machine Learning, Mobile Devices, Robotics",RGo Robotics is a robotics company that enables mobile robots to understand complex surroundings and operate autonomously.,01/01/2018 12:00:00 AM,https://www.rgorobotics.ai,-71.0835375,42.3627822,POINT (-71.0835375 42.3627822)
MicroEJ,730 Memorial Dr,Cambridge,MA,02139,Technology,"Consumer Electronics, Manufacturing, Medical Device, Robotics, Smart Building, Smart Cities, Smart Home, Software",MicroEJ brings the Smart into Smart Things. Fast. Sustainable. Secure. Low-Footprint. Cost-Effective. #PoweredByMicroEJ,01/01/2012 12:00:00 AM,http://www.microej.com/,-71.1143075,42.3572095,POINT (-71.1143075 42.3572095)
Calpurnia Corporation,150 Cambridge Park Dr #703,Cambridge,MA,02140,Technology,"Information Technology, Software","Calpurnia Corporation provides intelligent video analysis, and investigator software for loss prevention and store intelligence solutions.",01/01/2002 12:00:00 AM,,-71.1098162,42.3691069,POINT (-71.1098162 42.3691069)
Ovation,32 Pearl St,Cambridge,MA,02139,Life Sciences,"Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Management, Enterprise Software, Life Science, Management Information Systems, Medical",Ovation is a scientific data company providing a cloud-based LIMS for molecular diagnostic laboratories.,01/01/2009 12:00:00 AM,http://ovation.io/,-71.1031756,42.3639769,POINT (-71.1031756 42.3639769)
Atavistik Bio,75 Sidney St 4th Floor,Cambridge,MA,02139,Life Sciences,"Biotechnology, Health Care, Life Science, Therapeutics",Atavistik Bio is a biotechnology company that focuses on the discovery and development of novel therapies for metabolic diseases and cancer.,01/01/2021 12:00:00 AM,https://atavistikbio.com/,-71.1022842,42.3615089,POINT (-71.1022842 42.3615089)
Lazarus,1 Broadway f14,Cambridge,MA,02142,Technology,"Artificial Intelligence (AI), Developer APIs, Document Management, Information Technology, Natural Language Processing, Software",An API for Advanced Document Understanding,10/04/2017 12:00:00 AM,https://www.lazarusforms.com,-71.0835375,42.3627822,POINT (-71.0835375 42.3627822)
Acceleron Pharma,128 Sidney St,Cambridge,MA,02139,Life Sciences,"Biotechnology, Health Care, Manufacturing, Medical, Pharmaceutical","Acceleron is a biopharmaceutical company engaged in developing, manufacturing and commercializing novel biotherapeutics.",01/01/2004 12:00:00 AM,http://acceleronpharma.com/,-71.1031469,42.3592534,POINT (-71.1031469 42.3592534)
Wala Digital Health,125 Cambridgepark Dr Suite 301,Cambridge,MA,02140,Technology,"Artificial Intelligence (AI), Machine Learning, Software",Wala's SaaS platform powers blood banks with technology to meet their blood needs. We attract donors with tech & innovative digital tools.,03/03/2021 12:00:00 AM,https://waladigital.io/,-71.1460272,42.3949969,POINT (-71.1460272 42.3949969)
